date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:23	22/22	---M--	200	added ('OK')	text/plain	etag:%2216-5affd657ad240%22	http://www.geojeyouth.com/robots.txt		(from )
00:11:23	41264/41264	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:27%20GMT	http://www.geojeyouth.com/web/	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/index.html	(from )
00:11:23	5599/5599	---M--	200	added ('OK')	image/png	etag:%2215df-5ac7455ea5288%22	http://geojeyouth.com/sns_img.png	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/geojeyouth.com/sns_img.png	(from http://www.geojeyouth.com/web/)
00:11:24	13107/13107	---M--	200	added ('OK')	text/css	etag:%223333-5ac6014b61748%22	http://www.geojeyouth.com/web/css/base.css	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/css/base.css	(from http://www.geojeyouth.com/web/)
00:11:24	37261/37261	---M--	200	added ('OK')	text/css	etag:%22918d-5a9ed102260a8%22	http://www.geojeyouth.com/web/js/jquery-ui.css	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/js/jquery-ui.css	(from http://www.geojeyouth.com/web/)
00:11:24	24230/24230	---M--	200	added ('OK')	text/css	etag:%225ea6-5af45c87fcfe8%22	http://www.geojeyouth.com/web/css/layout_new.css	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/css/layout_new.css	(from http://www.geojeyouth.com/web/)
00:11:24	18279/18279	---M--	200	added ('OK')	text/css	etag:%224767-5af5bd0f3bac0%22	http://www.geojeyouth.com/web/css/main_new.css	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/css/main_new.css	(from http://www.geojeyouth.com/web/)
00:11:25	97244/97244	---M--	200	added ('OK')	application/javascript	etag:%2217bdc-5a9ed5dd840b0%22	http://www.geojeyouth.com/web/js/jquery-1.12.2.min.js	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/js/jquery-1.12.2.min.js	(from http://www.geojeyouth.com/web/)
00:11:25	67849/67849	---M--	200	added ('OK')	application/javascript	etag:%2210909-5a9ed62137578%22	http://www.geojeyouth.com/web/js/jquery.bxslider.js	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/js/jquery.bxslider.js	(from http://www.geojeyouth.com/web/)
00:11:25	9562/9562	---M--	200	added ('OK')	application/javascript	etag:%22255a-5af68f7093688%22	http://www.geojeyouth.com/web/js/custom.js	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/js/custom.js	(from http://www.geojeyouth.com/web/)
